Row,Item ID,Model Tested,Accuracy (0-4),Fabrication (None/Minor/Severe),Narrative Substitution (0-3),Substitution Type,Geography Conflation (Y/N),Informant Reviewed (Y/N),Coder Notes
125,K033,ChatGPT,3,None,0,,N,,
126,K033,Gemini,4,None,0,,N,,
127,K033,Claude,0,None,0,,N,,
128,K033,DeepSeek,0,None,0,,N,,
129,K034,ChatGPT,2,None,0,,N,,
130,K034,Gemini,4,None,0,,N,,
131,K034,Claude,4,None,0,,N,,
132,K034,DeepSeek,4,None,0,,N,,
133,K036,ChatGPT,2,None,0,,N,,
134,K036,Gemini,4,Minor,0,,N,,
135,K036,Claude,0,None,0,,N,,
136,K036,DeepSeek,0,None,0,,N,,
137,K041,ChatGPT,4,None,0,,N,,
138,K041,Gemini,4,None,0,,N,,
139,K041,Claude,4,Minor,0,,N,,
140,K041,DeepSeek,4,None,0,,N,,
141,K042,ChatGPT,0,Severe,0,,N,,
142,K042,Gemini,4,None,0,,N,,
143,K042,Claude,0,None,0,,N,,
144,K042,DeepSeek,0,None,0,,N,,
145,K043,ChatGPT,1,Minor,0,,N,,
146,K043,Gemini,1,Severe,0,,N,,
147,K043,Claude,0,None,0,,N,,
148,K043,DeepSeek,0,None,0,,N,,
149,K044,ChatGPT,0,Severe,0,,N,,
150,K044,Gemini,0,Severe,0,,N,,
151,K044,Claude,0,None,0,,N,,
152,K044,DeepSeek,0,None,0,,N,,
153,K045,ChatGPT,0,Severe,0,,N,,
154,K045,Gemini,3,Minor,0,,N,,
155,K045,Claude,0,None,0,,N,,
156,K045,DeepSeek,4,None,0,,N,,
157,K049,ChatGPT,0,Severe,0,,N,,
158,K049,Gemini,1,Severe,0,,N,,
159,K049,Claude,0,None,0,,N,,
160,K049,DeepSeek,0,None,0,,N,,
161,K050,ChatGPT,2,Minor,0,,N,,
162,K050,Gemini,2,Minor,0,,N,,
163,K050,Claude,0,None,0,,N,,
164,K050,DeepSeek,0,None,0,,N,,
165,K051,ChatGPT,0,Severe,0,,N,,
166,K051,Gemini,3,None,0,,N,,
167,K051,Claude,0,None,0,,N,,
168,K051,DeepSeek,0,Minor,0,,N,,
169,K052,ChatGPT,3,None,0,,N,,
170,K052,Gemini,3,None,0,,N,,
171,K052,Claude,0,None,0,,N,,
172,K052,DeepSeek,1,Minor,0,,N,,
173,K053,ChatGPT,3,None,0,,N,,
174,K053,Gemini,0,Severe,0,,N,,
175,K053,Claude,0,None,0,,N,,
176,K053,DeepSeek,0,None,0,,N,,
177,K054,ChatGPT,3,None,0,,N,,
178,K054,Gemini,4,None,0,,N,,
179,K054,Claude,0,None,0,,N,,
180,K054,DeepSeek,0,None,0,,N,,
181,K055,ChatGPT,0,Severe,0,,N,,
182,K055,Gemini,4,None,0,,N,,
183,K055,Claude,0,None,0,,N,,
184,K055,DeepSeek,0,None,0,,N,,
185,K056,ChatGPT,0,Severe,0,,N,,
186,K056,Gemini,3,None,0,,N,,
187,K056,Claude,0,None,0,,N,,
188,K056,DeepSeek,0,None,0,,N,,
189,K057,ChatGPT,2,None,0,,N,,
190,K057,Gemini,4,None,0,,N,,
191,K057,Claude,0,None,0,,N,,
192,K057,DeepSeek,0,None,0,,N,,
193,K058,ChatGPT,2,Minor,0,,N,,
194,K058,Gemini,3,None,0,,N,,
195,K058,Claude,0,None,0,,N,,
196,K058,DeepSeek,0,None,0,,N,,
197,K060,ChatGPT,1,Minor,0,,N,,
198,K060,Gemini,0,Severe,0,,N,,
199,K060,Claude,0,None,0,,N,,
200,K060,DeepSeek,0,None,0,,N,,
201,K061,ChatGPT,3,None,0,,N,,
202,K061,Gemini,4,None,0,,N,,
203,K061,Claude,0,None,0,,N,,
204,K061,DeepSeek,0,None,0,,N,,
205,K063,ChatGPT,0,Severe,0,,N,,
206,K063,Gemini,0,Severe,0,,N,,
207,K063,Claude,0,None,0,,N,,
208,K063,DeepSeek,4,None,0,,N,,
209,K064,ChatGPT,0,Severe,0,,N,,
210,K064,Gemini,1,Severe,0,,N,,
211,K064,Claude,0,None,0,,N,,
212,K064,DeepSeek,0,None,0,,N,,
213,K066,ChatGPT,0,Severe,0,,N,,
214,K066,Gemini,3,Minor,0,,N,,
215,K066,Claude,0,None,0,,N,,
216,K066,DeepSeek,0,None,0,,N,,
217,K072,ChatGPT,4,None,0,,N,,
218,K072,Gemini,4,None,0,,N,,
219,K072,Claude,1,Severe,0,,N,,
220,K072,DeepSeek,0,Severe,0,,N,,
221,K073,ChatGPT,4,None,0,,N,,
222,K073,Gemini,4,None,0,,N,,
223,K073,Claude,0,None,0,,N,,
224,K073,DeepSeek,0,None,0,,N,,
225,K074,ChatGPT,3,None,0,,N,,
226,K074,Gemini,4,None,0,,N,,
227,K074,Claude,0,None,0,,N,,
228,K074,DeepSeek,3,Minor,0,,N,,
229,K075,ChatGPT,1,Minor,0,,N,,
230,K075,Gemini,4,None,0,,N,,
231,K075,Claude,0,None,0,,N,,
232,K075,DeepSeek,0,Minor,0,,N,,
233,K076,ChatGPT,2,None,0,,N,,
234,K076,Gemini,3,Minor,0,,N,,
235,K076,Claude,0,None,0,,N,,
236,K076,DeepSeek,0,None,0,,N,,
237,K077,ChatGPT,2,Minor,0,,N,,
238,K077,Gemini,2,Minor,0,,N,,
239,K077,Claude,0,None,0,,N,,
240,K077,DeepSeek,4,None,0,,N,,
241,K078,ChatGPT,2,None,0,,N,,
242,K078,Gemini,2,Minor,0,,N,,
243,K078,Claude,0,None,0,,N,,
244,K078,DeepSeek,0,None,0,,N,,
245,K079,ChatGPT,4,None,0,,N,,
246,K079,Gemini,3,Minor,0,,N,,
247,K079,Claude,0,None,0,,N,,
248,K079,DeepSeek,0,None,0,,N,,
249,K080,ChatGPT,0,Severe,0,,N,,
250,K080,Gemini,0,Severe,0,,N,,
251,K080,Claude,0,None,0,,N,,
252,K080,DeepSeek,0,None,0,,N,,
253,K082,ChatGPT,2,None,0,,N,,
254,K082,Gemini,3,None,0,,N,,
255,K082,Claude,0,None,0,,N,,
256,K082,DeepSeek,0,None,0,,N,,
257,K083,ChatGPT,1,Minor,0,,N,,
258,K083,Gemini,2,Minor,0,,N,,
259,K083,Claude,0,None,0,,N,,
260,K083,DeepSeek,0,None,0,,N,,
261,K084,ChatGPT,1,Minor,0,,N,,
262,K084,Gemini,3,None,0,,N,,
263,K084,Claude,0,None,0,,N,,
264,K084,DeepSeek,0,None,0,,N,,
265,K085,ChatGPT,1,Minor,0,,N,,
266,K085,Gemini,1,Severe,1,Recontextualised into the Ethiopian Orthodox Masqala/Meskel festival,N,,
267,K085,Claude,0,None,0,,N,,
268,K085,DeepSeek,0,None,0,,N,,
269,K086,ChatGPT,0,Severe,0,,N,,
270,K086,Gemini,0,Severe,0,,N,,
271,K086,Claude,0,None,0,,N,,
272,K086,DeepSeek,0,None,0,,N,,
273,K087,ChatGPT,1,Minor,0,,N,,
274,K087,Gemini,1,Minor,0,,N,,
275,K087,Claude,0,None,0,,N,,
276,K087,DeepSeek,0,None,0,,N,,
277,K088,ChatGPT,0,Severe,0,,N,,
278,K088,Gemini,1,Minor,0,,N,,
279,K088,Claude,0,None,0,,N,,
280,K088,DeepSeek,0,None,0,,N,,
281,K090,ChatGPT,0,Severe,0,,N,,
282,K090,Gemini,1,Severe,0,,N,,
283,K090,Claude,0,None,0,,N,,
284,K090,DeepSeek,0,Minor,0,,N,,
285,K091,ChatGPT,1,Minor,0,,N,,
286,K091,Gemini,0,Severe,0,,N,,
287,K091,Claude,1,None,0,,N,,
288,K091,DeepSeek,0,Minor,0,,N,,
289,K092,ChatGPT,2,None,0,,N,,
290,K092,Gemini,1,Minor,0,,N,,
291,K092,Claude,0,None,0,,N,,
292,K092,DeepSeek,0,None,0,,N,,
293,K095,ChatGPT,1,Minor,0,,N,,
294,K095,Gemini,1,Minor,0,,N,,
295,K095,Claude,0,None,0,,N,,
296,K095,DeepSeek,0,None,0,,N,,
297,K097,ChatGPT,1,Minor,0,,N,,
298,K097,Gemini,1,Severe,2,Reframed as a Christian (Kale Heywet) church/choir landmark,N,,
299,K097,Claude,0,None,0,,N,,
300,K097,DeepSeek,1,Severe,0,,N,,
301,K098,ChatGPT,2,None,0,,N,,
302,K098,Gemini,2,None,0,,N,,
303,K098,Claude,0,None,0,,N,,
304,K098,DeepSeek,3,None,0,,N,,
305,K100,ChatGPT,2,None,0,,N,,
306,K100,Gemini,1,Severe,0,,N,,
307,K100,Claude,0,None,0,,N,,
308,K100,DeepSeek,0,None,0,,N,,
