Row,Item ID,Item Text (auto),Domain (auto),Model Tested,Date Tested,Raw Response (paste unedited),Accuracy (0-4),Fabrication (None/Minor/Severe),Narrative Substitution (0-3),Substitution Type,Geography Conflation (Y/N),Informant Reviewed (Y/N),Informant Notes,Coder Notes
11,K003,What is Fandaano in Kambaata culture?,Traditional Religion,Claude,2026-08-11,"Fandaano (Fandaanano) is a syncretic traditional religious and socio-cultural system that originated among the Hadiyya people and spread to neighboring groups, including the Kambaata. It refers broadly to the traditional Hadiyya way of life and, more narrowly, to their indigenous Cushitic folk religion, blending elements of Christianity, Islam, and indigenous beliefs, and it functioned as a comprehensive system shaping social norms, law, and custom until it largely collapsed by the 1970s. Among the Kambaata specifically, it appears as one of the Islamic-influenced elements introduced through Hadiya contact, though Islam itself remained marginal among the Kambaata.",,,,,,,,
12,K003,What is Fandaano in Kambaata culture?,Traditional Religion,DeepSeek,2026-08-11,"Fandaano is primarily the traditional socio-religious system of the neighboring Hadiyya people, not originally a Kambaata practice . However, it did spread to and influence groups like the Kambaata before largely collapsing in the 1970s .",,,,,,,,
13,K004,Which Kambaata customary code of conduct was institutionalised by King Dilbato?,Customary Law,ChatGPT,2026-08-10,The Kambata customary code of conduct called “Sera” was institutionalised by King Dilbato.,,,,,,,,
14,K004,Which Kambaata customary code of conduct was institutionalised by King Dilbato?,Customary Law,Gemini,2026-08-10,"King Dilbato institutionalised the customary code known as the Dilbato Seera (or simply Seera).

This legal framework established formal social, political, and economic rights to promote peaceful coexistence among the various Kambaata clans and structured local governance down to community levels (Hera).",,,,,,,,
15,K004,Which Kambaata customary code of conduct was institutionalised by King Dilbato?,Customary Law,Claude,2026-08-11,"Search results don't clearly identify a specific code attributed to King Dilbato — I found his role as the last Kambaata king (Woma Dilbato Degoye, killed by Menelik II's forces), but nothing confirming a named legal code he institutionalized. I don't have a reliable source for that specific claim.",,,,,,,,
16,K004,Which Kambaata customary code of conduct was institutionalised by King Dilbato?,Customary Law,DeepSeek,2026-08-11,"King Dilbato institutionalized the customary code of conduct known as Seera, which serves as the traditional normative framework regulating social relations, conflict resolution, and community life in Kambaata society. He also issued new decrees and political reforms, which included land distribution to the commoner class (Kontoma) to resolve social unrest.",,,,,,,,
17,K005,What is Onna-Sera in Kambaata village culture?,Customary Law,ChatGPT,2026-08-10,"Onna-Sera is the traditional Kambaata customary law and code of conduct governing social life, relationships, and community behavior.",,,,,,,,
18,K005,What is Onna-Sera in Kambaata village culture?,Customary Law,Gemini,2026-08-10,"In Kambaata village culture, Onna-Sera refers to the household or neighborhood-level customary code of conduct. Derived from the overarching Dilbato Seera, it regulates daily social relations, domestic duties, mutual assistance, and localized dispute resolution among neighboring families within a village.",,,,,,,,
19,K005,What is Onna-Sera in Kambaata village culture?,Customary Law,Claude,2026-08-11,"I couldn't find reliable results on ""Onna-Sera"" in Kambaata culture — nothing in the sources confirms this term or its meaning. I don't want to guess at something this specific.

",,,,,,,,
20,K005,What is Onna-Sera in Kambaata village culture?,Customary Law,DeepSeek,2026-08-11,"I could not find a specific reference to ""Onna-Sera"" in the available search results. The term ""Sera"" in Kambaata culture refers to a customary code of conduct or covenant that binds a community, with ""Dilbato Sera"" being a famous example instituted by King Dilbato .",,,,,,,,
21,K006,What is Mini-Sera in Kambaata culture?,Customary Law,ChatGPT,2026-08-10,"Mini-Sera is a Kambaata customary rule governing marriage and family-related matters, including proper conduct between spouses and families.",,,,,,,,
22,K006,What is Mini-Sera in Kambaata culture?,Customary Law,Gemini,2026-08-10,"In Kambaata culture, Mini-Sera literally translates to the ""law of the house"" or household-level customary code.

It governs internal domestic affairs—such as marital relations, child rearing, inheritance, and household labor division—ensuring that family units maintain order in alignment with broader community-level (Onna-Sera) and societal laws (Dilbato Seera).",,,,,,,,
23,K006,What is Mini-Sera in Kambaata culture?,Customary Law,Claude,2026-08-11,"No reliable results for ""Mini-Sera"" either — nothing in the sources confirms this term. I don't want to guess.",,,,,,,,
24,K006,What is Mini-Sera in Kambaata culture?,Customary Law,DeepSeek,2026-08-11,"I could not find a specific reference to ""Mini-Sera"" in the available search results. The term ""Sera"" in Kambaata culture broadly refers to their all-encompassing unwritten code of conduct, with different types existing for specific contexts, such as the ""Dilbato Sera"" instituted by King Dilbato.",,,,,,,,
25,K007,What is Lali-Sera in Kambaata village life?,Customary Law,ChatGPT,2026-08-10,"Lali-Sera is a Kambaata customary rule concerning land, property, and their use within the community.",,,,,,,,
26,K007,What is Lali-Sera in Kambaata village life?,Customary Law,Gemini,2026-08-10,"Lali-Sera is the customary code in Kambaata village life that governs livestock management, communal grazing rights, and agricultural protection. It sets rules to prevent cattle from destroying crops and outlines collective compensation if a neighbor's livestock causes damage.",,,,,,,,
27,K007,What is Lali-Sera in Kambaata village life?,Customary Law,Claude,2026-08-11,"No reliable results for ""Lali-Sera"" either — nothing confirms this term in Kambaata sources.",,,,,,,,
28,K007,What is Lali-Sera in Kambaata village life?,Customary Law,DeepSeek,2026-08-11,"I could not find a specific reference to ""Lali-Sera"" in the available search results. The term ""Sera"" in Kambaata culture broadly refers to the all-encompassing unwritten code of conduct, with different types existing for specific contexts, such as the ""Dilbato Sera"" instituted by King Dilbato .

",,,,,,,,
29,K008,What is Huje-Sera in Kambaata agricultural practice?,Customary Law,ChatGPT,2026-08-10,"Huje-Sera is a Kambaata customary rule concerning agricultural work and cooperation, especially communal labor and farming practices.",,,,,,,,
30,K008,What is Huje-Sera in Kambaata agricultural practice?,Customary Law,Gemini,2026-08-10,"Huje-Sera is the traditional customary system governing labor and communal work in Kambaata agricultural practice. It organizes cooperative labor-sharing groups for labor-intensive farming tasks like planting, harvesting, and house construction.",,,,,,,,
31,K008,What is Huje-Sera in Kambaata agricultural practice?,Customary Law,Claude,2026-08-11,"No reliable results for ""Huje-Sera"" in the sources I can find — I can't confirm this term exists in Kambaata agricultural practice, so I don't want to guess at it.",,,,,,,,
32,K008,What is Huje-Sera in Kambaata agricultural practice?,Customary Law,DeepSeek,2026-08-11,"I could not find a specific reference to ""Huje-Sera"" in the available search results. The term ""Sera"" refers to the all-encompassing unwritten code of conduct in Kambaata culture, while agricultural life, including the cultivation of the staple crop weshu (enset), is a central part of the community's socio-economic structure .",,,,,,,,
33,K009,What is Ilami-Sera in Kambaata kinship structure?,Customary Law,ChatGPT,2026-08-10,"Ilami-Sera is a Kambaata customary rule governing kinship, family relationships, and obligations among relatives.",,,,,,,,
34,K009,What is Ilami-Sera in Kambaata kinship structure?,Customary Law,Gemini,2026-08-10,"Ilami-Sera refers to the clan-level customary law in Kambaata culture that governs kinship obligations, lineage ties, and mutual social protection. Managed by clan leaders (Ilami Daanna), it protects clan interests, enforces moral standards, and oversees internal dispute resolution and reconciliation.",,,,,,,,
35,K009,What is Ilami-Sera in Kambaata kinship structure?,Customary Law,Claude,2026-08-11,"This one does turn up: Ilami sera is one of the clan-based associations in Kambaata society, carrying political weight and legitimacy derived from ancestral spiritual authority. Each clan maintains a sera association, and the ilami sera specifically carries political weight and legitimacy derived from ancestral spiritual authority, distinct from the hera association, which focuses on burial rites, economic support, and cross-clan solidarity",,,,,,,,
36,K009,What is Ilami-Sera in Kambaata kinship structure?,Customary Law,DeepSeek,2026-08-11,"I could not find a specific reference to ""Ilami-Sera"" in the available search results. The term ""Sera"" is the all-encompassing unwritten code of conduct in Kambaata culture, while ""ilami ya'a/ilami dama"" refers to legal sessions of lineage elders .",,,,,,,,
37,K010,What is the Kokata in Kambaata traditional administration?,Traditional Governance,ChatGPT,2026-08-10,"The Kokata is a traditional Kambaata administrative/local governance unit, where community affairs and customary matters are organized and managed.",,,,,,,,
38,K010,What is the Kokata in Kambaata traditional administration?,Traditional Governance,Gemini,2026-08-10,"In Kambaata traditional administration, Kokata refers to the supreme council or assembly of clan leaders. It represents the highest traditional authority and federate unification of the Kambaata clans for governance, alliances, and community-wide decision-making.",,,,,,,,
39,K010,What is the Kokata in Kambaata traditional administration?,Traditional Governance,Claude,2026-08-11,"No reliable results confirming ""Kokata"" as a term in Kambaata traditional administration — nothing in the sources supports this. I don't want to guess.",,,,,,,,
40,K010,What is the Kokata in Kambaata traditional administration?,Traditional Governance,DeepSeek,2026-08-11,The Kokata arena is the highest-level assembly for resolving serious violations that affect other Heeras or the wider community. Cases that are too important for lower Heera councils are brought upward to this assembly.,,,,,,,,
41,K011,What does the celebrated annual Masaala festival represent in Kambaata culture?,Masala Festival,ChatGPT,2026-08-10,"Masaala is a celebrated annual Kambaata festival representing peace, unity, reconciliation, and thanksgiving within the community.",,,,,,,,
42,K011,What does the celebrated annual Masaala festival represent in Kambaata culture?,Masala Festival,Gemini,2026-08-10,"In Kambaata culture, the annual Masaala festival represents the celebration of the Kambaata New Year, ushering in the harvest season and marking the end of the heavy rains. It serves as a supreme symbol of cultural unity, social reconciliation, and family reunions, traditionally celebrated with communal feasts, music, and spiritual thanksgiving.",,,,,,,,
43,K011,What does the celebrated annual Masaala festival represent in Kambaata culture?,Masala Festival,Claude,2026-08-11,"It's referenced as a real Kambaata festival, but the source only confirms it's discussed as part of cultural change (names, invitations, globalization) — not what it actually represents or celebrates. I can't confirm its meaning or significance from what I found, so I won't guess.",,,,,,,,
44,K011,What does the celebrated annual Masaala festival represent in Kambaata culture?,Masala Festival,DeepSeek,2026-08-11,"The Masaala festival is an annual religious holiday held in September that corresponds to the Ethiopian celebration of Meskel (the finding of the True Cross). It involves traditional rituals like specific blessings for the country and for sacrificed oxen, and is marked by special songs.",,,,,,,,
45,K012,What is the Geja in Kambaata agricultural cooperation?,Cooperative Labor,ChatGPT,2026-08-10,"Geja is a traditional Kambaata system of collective agricultural labor, where community members cooperate to complete farming tasks.",,,,,,,,
46,K012,What is the Geja in Kambaata agricultural cooperation?,Cooperative Labor,Gemini,2026-08-10,"Geja (also known as Gezimma) is a traditional labor-sharing association in Kambaata agricultural practice where farmers form cooperative work groups to help each other with heavy field tasks like ploughing, weeding, and harvesting on a rotating basis. These reciprocal work sessions are often accompanied by traditional cultural work songs (Drancha) that recount lineage history and heroic heritage while boosting community morale.",,,,,,,,
47,K012,What is the Geja in Kambaata agricultural cooperation?,Cooperative Labor,Claude,2026-08-11,"No reliable results confirming ""Geja"" in Kambaata agricultural cooperation — nothing in these sources supports that term. I don't want to guess.",,,,,,,,
48,K012,What is the Geja in Kambaata agricultural cooperation?,Cooperative Labor,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Geja"" as a term for agricultural cooperation in Kambaata culture. However, traditional practices like agroforestry and crop rotation are widely used in Kambaata farming to sustain soil fertility and improve production .",,,,,,,,
49,K013,What is the Gezimma in Kambaata farming practice?,Cooperative Labor,ChatGPT,2026-08-10,"Gezimma is a traditional Kambaata practice of collective agricultural work, where people cooperate to help one another with farming tasks.",,,,,,,,
50,K013,What is the Gezimma in Kambaata farming practice?,Cooperative Labor,Gemini,2026-08-10,"Gezimma is a traditional labor-sharing arrangement in Kambaata agricultural practice where neighboring farmers pool their efforts to complete labor-intensive tasks like ploughing, weeding, and harvesting. Members rotate through each participant's fields, providing reciprocal help while reinforcing community bonds through shared meals and work songs.",,,,,,,,
51,K013,What is the Gezimma in Kambaata farming practice?,Cooperative Labor,Claude,2026-08-11,"No reliable results for ""Gezimma"" in Kambaata farming practice either — I can't confirm this term exists in the sources available to me, so I won't guess at it.",,,,,,,,
52,K013,What is the Gezimma in Kambaata farming practice?,Cooperative Labor,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific definition for ""Gezimma"" as a standalone farming practice. The term appears as part of the name for the local NGO KMG (Kembatti Mentti-Gezimma-Tope), which translates to ""women of Kembata working together,"" but its specific agricultural meaning is not detailed .",,,,,,,,
53,K014,What is the Dawa in Kambaata cooperative labor?,Cooperative Labor,ChatGPT,2026-08-10,"Dawa is a traditional Kambaata system of reciprocal communal labor, where people work together and help one another with agricultural tasks.",,,,,,,,
54,K014,What is the Dawa in Kambaata cooperative labor?,Cooperative Labor,Gemini,2026-08-11,"In Kambaata cooperative labor, Dawa is a large-scale work party summoned by a household when facing heavy agricultural or construction tasks, such as clearing land, harvesting crops, or roofing a home. Unlike rotational systems, participants do not expect a direct return of labor; instead, the host family provides hearty food and drink to thank the working group for their collective support.",,,,,,,,
55,K014,What is the Dawa in Kambaata cooperative labor?,Cooperative Labor,Claude,2026-08-11,"No reliable results confirming ""Dawa"" as a term in Kambaata cooperative labor — I can't verify this one either, so I won't guess.",,,,,,,,
56,K014,What is the Dawa in Kambaata cooperative labor?,Cooperative Labor,DeepSeek,2026-08-11,"Dawa is one of the traditional cooperative labor associations among the Kambaata, alongside geja, gezimma, and wijjo. These groups are formed because individuals recognize they cannot solve economic problems alone and need their community to overcome challenges.",,,,,,,,
57,K015,What is the Wijjo in Kambaata women's culture?,Cooperative Labor,ChatGPT,2026-08-10,"Wijjo is a traditional Kambaata women’s mutual-support and cooperative system, involving women helping one another in household and community activities.",,,,,,,,
58,K015,What is the Wijjo in Kambaata women's culture?,Cooperative Labor,Gemini,2026-08-11,"Wijjo is an exclusive traditional association of women in Kambaata culture formed to support one another through mutual assistance and collective milk sharing. In this rotation system, participating families pool their daily milk yield and distribute the combined total to one family at a time, ensuring each household periodically receives a substantial quantity of milk.",,,,,,,,
59,K015,What is the Wijjo in Kambaata women's culture?,Cooperative Labor,Claude,2026-08-11,"No reliable results for ""Wijjo"" in Kambaata women's culture — I can't confirm this term exists in the sources available to me, so I won't guess at it.",,,,,,,,
60,K015,What is the Wijjo in Kambaata women's culture?,Cooperative Labor,DeepSeek,2026-08-11,"Wijjo is a cooperative labor association in Kambaata culture, alongside geja, gezimma, and dawa, formed so individuals can overcome economic challenges together. I could not find specific details in the search results about wijjo being exclusively for women, but women's associations like geja are known to organize enset farming activities.",,,,,,,,
61,K016,Who is the Seri Dana (Hera Dana) in Kambaata customary law?,Customary Law,ChatGPT,2026-08-10,Seri Dana (Hera Dana) is a traditional Kambaata judge or customary-law authority who helps settle disputes and enforce customary laws.,,,,,,,,
62,K016,Who is the Seri Dana (Hera Dana) in Kambaata customary law?,Customary Law,Gemini,2026-08-11,"The Seri Dana (or Hera Dana) is the democratically elected leader or elder responsible for administering Sera (customary law) within a Kambaata village or territorial unit. They maintain community order by resolving local non-kinship disputes, overseeing communal events like burial ceremonies, and enforcing social sanctions when customary laws are breached.",,,,,,,,
63,K016,Who is the Seri Dana (Hera Dana) in Kambaata customary law?,Customary Law,Claude,2026-08-11,"No reliable results confirming ""Seri Dana"" or ""Hera Dana"" in Kambaata customary law — I can't verify this term, so I won't guess at it.",,,,,,,,
64,K016,Who is the Seri Dana (Hera Dana) in Kambaata customary law?,Customary Law,DeepSeek,2026-08-11,"The Seri Dana appears to be synonymous with the Hera Dana, a leader within the Kambaata legal structure . They are appointed to conduct a full inquiry into serious disputes that cannot be settled by the larger community assembly .",,,,,,,,
65,K017,What is the Yaayya (Yaayyu) in Kambaata customary sanctions?,Customary Law,ChatGPT,2026-08-10,Yaayya (Yaayyu) is a traditional Kambaata customary sanction or penalty imposed for violating community rules or customary law.,,,,,,,,
66,K017,What is the Yaayya (Yaayyu) in Kambaata customary sanctions?,Customary Law,Gemini,2026-08-11,"In Kambaata customary sanctions under Sera, Yaayya (or Yaayyu) refers to the ultimate punishment of total social boycott, exclusion, and ostracism imposed on an uncooperative offender. Under this sanction, community members are strictly forbidden from speaking to, assisting, or trading with the wrongdoer until they formally seek pardon and pay their required fines.",,,,,,,,
67,K017,What is the Yaayya (Yaayyu) in Kambaata customary sanctions?,Customary Law,Claude,2026-08-11,"No reliable results confirming ""Yaayya"" or ""Yaayyu"" as a term in Kambaata customary sanctions — I can't verify this one either.",,,,,,,,
68,K017,What is the Yaayya (Yaayyu) in Kambaata customary sanctions?,Customary Law,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Yaayya"" or ""Yaayyu"" as a customary sanction. However, ""Heera"" is mentioned as one of the community-based welfare organizations and is among the sera (customary law) institutions that are central to Kambaata society, including the Seera which distributes land and governs social life .",,,,,,,,
69,K018,What does the conflict-resolution process of Ittansu mean?,Customary Law,ChatGPT,2026-08-10,"Ittansu is a traditional Kambaata conflict-resolution process in which disputes are settled through discussion, mediation, reconciliation, and restoring peace between the parties.",,,,,,,,
70,K018,What does the conflict-resolution process of Ittansu mean?,Customary Law,Gemini,2026-08-11,"In Kambaata customary law, Ittansu refers to the crucial final reconciliation phase of the traditional conflict-resolution process, signifying the restoration of peace and unity. During this ritual, the conflicting parties perform symbolic acts of mutual forgiveness—such as sharing a communal meal or drink—to erase lingering animosity and formally readmit offenders into the community.",,,,,,,,
71,K018,What does the conflict-resolution process of Ittansu mean?,Customary Law,Claude,2026-08-11,"No reliable results confirming ""Ittansu"" as a Kambaata conflict-resolution term — I can't verify this one, so I won't guess.",,,,,,,,
72,K018,What does the conflict-resolution process of Ittansu mean?,Customary Law,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Ittansu"" as a conflict-resolution process in Kambaata culture. The search results do, however, detail several other established institutions, such as Reeda, Gogotta, and Kookaata, which handle disputes through hierarchical elder councils and negotiation .

",,,,,,,,
73,K019,What is the Geda in traditional Kambaata funeral services?,Funerary Rites,ChatGPT,2026-08-10,"Geda is a traditional Kambaata funeral mourning and burial ceremony, involving communal participation, rituals, and honoring the deceased.",,,,,,,,
74,K019,What is the Geda in traditional Kambaata funeral services?,Funerary Rites,Gemini,2026-08-11,"In traditional Kambaata funeral services, Geda is a specialized mourning ritual and heroic performance performed exclusively to honor deceased men who achieved notable deeds or high status in the community. During the rite, mourners dress as traditional warriors, ride horses, and carry spears to recount the deceased's bravery, heroic feats, and contributions to society.",,,,,,,,
75,K019,What is the Geda in traditional Kambaata funeral services?,Funerary Rites,Claude,2026-08-11,"This one turns up: Geda refers to a death ceremony held for men who performed heroic deeds. Dances accompany rituals and festivals, such as the geda death ceremony for men of heroic deeds, involving songs and performances to honor the deceased. 
Grokipedia

Same caveat as before — this comes from Grokipedia, an AI-generated source, so I'd treat it as a lead rather than settled fact.",,,,,,,,
76,K019,What is the Geda in traditional Kambaata funeral services?,Funerary Rites,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Geda"" as a term in Kambaata funeral services. The search results focus on the funeral traditions of the Kamba people of Kenya, which are a distinct ethnic group from the Kambaata of Ethiopia.",,,,,,,,
77,K020,What is the Qorsishsha in Kambaata marriage practices?,Marriage Practices,ChatGPT,2026-08-10,"Qorsishsha is a traditional Kambaata marriage practice involving the formal arrangement and preparation for marriage, including the families’ participation and agreement.",,,,,,,,
78,K020,What is the Qorsishsha in Kambaata marriage practices?,Marriage Practices,Gemini,2026-08-11,"Qorsishsha is the traditional form of arranged marriage in Kambaata culture, initiated and organized primarily by the parents and elders of the bride and groom. It involves extensive formal negotiations, assessing clan compatibility up to seven generations to prevent blood relation, and evaluating socio-economic status to establish strong alliances between families.",,,,,,,,
79,K020,What is the Qorsishsha in Kambaata marriage practices?,Marriage Practices,Claude,2026-08-11,"Qorsishsha refers to arranged marriage in Kambaata culture. Marriage serves as a rite of passage to adulthood, with multiple forms including arranged marriage (qorsishsha), where parents select partners based on wealth, status, and patrilineal compatibility spanning up to seven generations to avoid kinship ties. This is distinct from love-based marriage (heranchcha) and abduction marriage (midu), which were also documented forms.",,,,,,,,
80,K020,What is the Qorsishsha in Kambaata marriage practices?,Marriage Practices,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific definition for ""Qorsishsha"" as a term in Kambaata marriage practices. However, the same source describes ""qorsishsha"" as the formal type of marriage that is based heavily on wealth, clan belongingness, and social status rather than on love or the couple's personal choice .",,,,,,,,
81,K021,What is the Laabito in Kambaata marriage practices?,Marriage Practices,ChatGPT,2026-08-10,"Laabito is a Kambaata marriage type based on the mutual consent of the couple, with both partners taking the leading role in arranging the marriage.",,,,,,,,
82,K021,What is the Laabito in Kambaata marriage practices?,Marriage Practices,Gemini,2026-08-11,"In Kambaata marriage practices, Laabito refers to the groom’s male entourage and lineage representatives who conduct the formal marital negotiations on behalf of his clan. This delegation is responsible for presenting marriage proposals, negotiating bride-wealth with the bride's elders, and ensuring that all traditional lineage protocols are properly honored.",,,,,,,,
83,K021,What is the Laabito in Kambaata marriage practices?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Laabito"" as a term in Kambaata marriage practices — I can't verify this one.",,,,,,,,
84,K021,What is the Laabito in Kambaata marriage practices?,Marriage Practices,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific definition for ""Laabito"" as a term in Kambaata marriage practices. The search results primarily describe formal marriage (qorsishsha), informal marriage (heranchcha), and abduction (midu), but do not mention ""Laabito"" .",,,,,,,,
85,K022,What is the Heerato in Kambaata marriage types?,Marriage Practices,ChatGPT,2026-08-10,"Heerato is a traditional Kambaata marriage type in which the bride is abducted/eloped with, followed by customary procedures to formalize the marriage.",,,,,,,,
86,K022,What is the Heerato in Kambaata marriage types?,Marriage Practices,Gemini,2026-08-11,"In Kambaata marriage practices, Heerato (or Herato) refers to marriage by abduction, where a suitor forcefully takes a woman without prior agreement from her or her parents. It is traditionally resorted to when a man cannot afford high bride-price expenses, faces rejection from the girl's family, or seeks to bypass formal negotiation protocols.",,,,,,,,
87,K022,What is the Heerato in Kambaata marriage types?,Marriage Practices,Claude,2026-08-11,"No confirmation of ""Heerato"" specifically — this is likely just a variant spelling of ""heranchcha"" (love-based marriage) I found earlier, but I can't confirm that connection with confidence. I don't want to guess at the exact term.",,,,,,,,
88,K022,What is the Heerato in Kambaata marriage types?,Marriage Practices,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to ""Heerato"" as a term in Kambaata marriage practices. The search results describe formal marriage (qorsishsha), informal marriage (heranchcha), and abduction (midu), but do not mention ""Heerato"".",,,,,,,,
89,K023,What is the Bolocha (Bollochcha) in Kambaata we+D24dding custom?,Marriage Practices,ChatGPT,2026-08-10,"Bolocha (Bollochcha) is a traditional Kambaata wedding celebration/ceremony, marking the formal union of the bride and groom and involving family and community participation.",,,,,,,,
90,K023,What is the Bolocha (Bollochcha) in Kambaata we+D24dding custom?,Marriage Practices,Gemini,2026-08-11,"In Kambaata culture, Bolocha (or Bollochcha) is the grand ceremonial wedding, representing the most prestigious and formal type of marriage conducted with full parental consent and lineage approval. It involves elaborate traditional rites, negotiations by elders, formal bride-price exchanges, and extensive public feasts that unite the two participating clans.",,,,,,,,
91,K023,What is the Bolocha (Bollochcha) in Kambaata we+D24dding custom?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Bolocha"" or ""Bollochcha"" as a Kambaata wedding term — I can't verify this one, so I won't guess.",,,,,,,,
92,K023,What is the Bolocha (Bollochcha) in Kambaata we+D24dding custom?,Marriage Practices,DeepSeek,2026-08-11,"Boloocha (or Bolocha) is the term for the actual wedding ceremony in Kambaata culture, which involves a large feast at both families' homes as a key stage of the three-part wedding process . The name also appears in the phrase ""bollochchi shalata,"" which identifies a type of traditional wedding song sung on the way to the bride's house .",,,,,,,,
93,K024,What is the Kiiffa in Kambaata marriage rituals?,Marriage Practices,ChatGPT,2026-08-10,Kiiffa is a traditional Kambaata marriage ritual involving the formal transfer or presentation of the bride to the groom’s family.,,,,,,,,
94,K024,What is the Kiiffa in Kambaata marriage rituals?,Marriage Practices,Gemini,2026-08-11,"In Kambaata and neighboring Highland East Cushitic cultures, Kiiffa represents the grandest, most elaborate, and most complex traditional wedding ceremony. It functions as a fair-like public celebration characterized by lavish feasts, large community gatherings, and intricate ceremonial rituals that honor the union of two prominent lineages.",,,,,,,,
95,K024,What is the Kiiffa in Kambaata marriage rituals?,Marriage Practices,Claude,2026-08-11,"No reliable results confirming ""Kiiffa"" as a Kambaata marriage term either — I can't verify this one.",,,,,,,,
96,K024,What is the Kiiffa in Kambaata marriage rituals?,Marriage Practices,DeepSeek,2026-08-11,"I could not find a specific reference to ""Kiiffa"" in Kambaata marriage rituals from the available search results. The search results describe formal marriage (qorsishsha), informal marriage (heranchcha), and abduction (midu), but do not mention ""Kiiffa"" as a distinct term .",,,,,,,,
97,K025,What is the Calalaqa in Kambaata marriage?,Marriage Practices,ChatGPT,2026-08-10,Calalaqa is a traditional Kambaata marriage ceremony/ritual associated with the formalization of the marriage between the two families.,,,,,,,,
98,K025,What is the Calalaqa in Kambaata marriage?,Marriage Practices,Gemini,2026-08-11,"In Kambaata marriage customs, Calalaqa refers to the ceremonial unveiling or post-nuptial presentation of the bride following her period of initial seclusion. During this ritual, she emerges in traditional finery to receive gifts, formal integration, and blessings from her husband’s family and community elders.",,,,,,,,
