Row,Item ID,Model,Accuracy_0_4,Fabrication_None_Minor_Severe,Narrative_Substitution_0_3,Geography_Conflation_Y_N,Informant_Reviewed_Y_N,Informant_Notes,Coder_Notes
118,K031,Gemini,,,,,,,
119,K031,Claude,,,,,,,
120,K031,DeepSeek,,,,,,,
121,K032,ChatGPT,,,,,,,
122,K032,Gemini,,,,,,,
123,K032,Claude,,,,,,,
124,K032,DeepSeek,,,,,,,
125,K033,ChatGPT,,,,,,,
126,K033,Gemini,,,,,,,
127,K033,Claude,,,,,,,
128,K033,DeepSeek,,,,,,,
129,K034,ChatGPT,,,,,,,
130,K034,Gemini,,,,,,,
131,K034,Claude,,,,,,,
132,K034,DeepSeek,,,,,,,
133,K036,ChatGPT,,,,,,,
134,K036,Gemini,,,,,,,
135,K036,Claude,,,,,,,
136,K036,DeepSeek,,,,,,,
137,K041,ChatGPT,,,,,,,
138,K041,Gemini,,,,,,,
139,K041,Claude,,,,,,,
140,K041,DeepSeek,,,,,,,
141,K042,ChatGPT,,,,,,,
142,K042,Gemini,,,,,,,
143,K042,Claude,,,,,,,
144,K042,DeepSeek,,,,,,,
145,K043,ChatGPT,,,,,,,
146,K043,Gemini,,,,,,,
147,K043,Claude,,,,,,,
148,K043,DeepSeek,,,,,,,
149,K044,ChatGPT,,,,,,,
150,K044,Gemini,,,,,,,
151,K044,Claude,,,,,,,
152,K044,DeepSeek,,,,,,,
153,K045,ChatGPT,,,,,,,
154,K045,Gemini,,,,,,,
155,K045,Claude,,,,,,,
156,K045,DeepSeek,,,,,,,
157,K049,ChatGPT,,,,,,,
158,K049,Gemini,,,,,,,
159,K049,Claude,,,,,,,
160,K049,DeepSeek,,,,,,,
161,K050,ChatGPT,,,,,,,
162,K050,Gemini,,,,,,,
163,K050,Claude,,,,,,,
164,K050,DeepSeek,,,,,,,
165,K051,ChatGPT,,,,,,,
166,K051,Gemini,,,,,,,
167,K051,Claude,,,,,,,
168,K051,DeepSeek,,,,,,,
169,K052,ChatGPT,,,,,,,
170,K052,Gemini,,,,,,,
171,K052,Claude,,,,,,,
172,K052,DeepSeek,,,,,,,
173,K053,ChatGPT,,,,,,,
174,K053,Gemini,,,,,,,
175,K053,Claude,,,,,,,
176,K053,DeepSeek,,,,,,,
177,K054,ChatGPT,,,,,,,
178,K054,Gemini,,,,,,,
179,K054,Claude,,,,,,,
180,K054,DeepSeek,,,,,,,
181,K055,ChatGPT,,,,,,,
182,K055,Gemini,,,,,,,
183,K055,Claude,,,,,,,
184,K055,DeepSeek,,,,,,,
185,K056,ChatGPT,,,,,,,
186,K056,Gemini,,,,,,,
187,K056,Claude,,,,,,,
188,K056,DeepSeek,,,,,,,
189,K057,ChatGPT,,,,,,,
190,K057,Gemini,,,,,,,
191,K057,Claude,,,,,,,
192,K057,DeepSeek,,,,,,,
193,K058,ChatGPT,,,,,,,
194,K058,Gemini,,,,,,,
195,K058,Claude,,,,,,,
196,K058,DeepSeek,,,,,,,
197,K060,ChatGPT,,,,,,,
198,K060,Gemini,,,,,,,
199,K060,Claude,,,,,,,
200,K060,DeepSeek,,,,,,,
201,K061,ChatGPT,,,,,,,
202,K061,Gemini,,,,,,,
203,K061,Claude,,,,,,,
204,K061,DeepSeek,,,,,,,
205,K063,ChatGPT,,,,,,,
206,K063,Gemini,,,,,,,
207,K063,Claude,,,,,,,
208,K063,DeepSeek,,,,,,,
209,K064,ChatGPT,,,,,,,
210,K064,Gemini,,,,,,,
211,K064,Claude,,,,,,,
212,K064,DeepSeek,,,,,,,
213,K066,ChatGPT,,,,,,,
214,K066,Gemini,,,,,,,
215,K066,Claude,,,,,,,
216,K066,DeepSeek,,,,,,,
217,K072,ChatGPT,,,,,,,
218,K072,Gemini,,,,,,,
219,K072,Claude,,,,,,,
220,K072,DeepSeek,,,,,,,
221,K073,ChatGPT,,,,,,,
222,K073,Gemini,,,,,,,
223,K073,Claude,,,,,,,
224,K073,DeepSeek,,,,,,,
225,K074,ChatGPT,,,,,,,
226,K074,Gemini,,,,,,,
227,K074,Claude,,,,,,,
228,K074,DeepSeek,,,,,,,
229,K075,ChatGPT,,,,,,,
230,K075,Gemini,,,,,,,
231,K075,Claude,,,,,,,
232,K075,DeepSeek,,,,,,,
233,K076,ChatGPT,,,,,,,
234,K076,Gemini,,,,,,,
235,K076,Claude,,,,,,,
236,K076,DeepSeek,,,,,,,
237,K077,ChatGPT,,,,,,,
238,K077,Gemini,,,,,,,
239,K077,Claude,,,,,,,
240,K077,DeepSeek,,,,,,,
241,K078,ChatGPT,,,,,,,
242,K078,Gemini,,,,,,,
243,K078,Claude,,,,,,,
244,K078,DeepSeek,,,,,,,
245,K079,ChatGPT,,,,,,,
246,K079,Gemini,,,,,,,
247,K079,Claude,,,,,,,
248,K079,DeepSeek,,,,,,,
249,K080,ChatGPT,,,,,,,
250,K080,Gemini,,,,,,,
251,K080,Claude,,,,,,,
252,K080,DeepSeek,,,,,,,
253,K082,ChatGPT,,,,,,,
254,K082,Gemini,,,,,,,
255,K082,Claude,,,,,,,
256,K082,DeepSeek,,,,,,,
257,K083,ChatGPT,,,,,,,
258,K083,Gemini,,,,,,,
259,K083,Claude,,,,,,,
260,K083,DeepSeek,,,,,,,
261,K084,ChatGPT,,,,,,,
262,K084,Gemini,,,,,,,
263,K084,Claude,,,,,,,
264,K084,DeepSeek,,,,,,,
265,K085,ChatGPT,,,,,,,
266,K085,Gemini,,,,,,,
267,K085,Claude,,,,,,,
268,K085,DeepSeek,,,,,,,
269,K086,ChatGPT,,,,,,,
270,K086,Gemini,,,,,,,
271,K086,Claude,,,,,,,
272,K086,DeepSeek,,,,,,,
273,K087,ChatGPT,,,,,,,
274,K087,Gemini,,,,,,,
275,K087,Claude,,,,,,,
276,K087,DeepSeek,,,,,,,
277,K088,ChatGPT,,,,,,,
278,K088,Gemini,,,,,,,
279,K088,Claude,,,,,,,
280,K088,DeepSeek,,,,,,,
281,K090,ChatGPT,,,,,,,
282,K090,Gemini,,,,,,,
283,K090,Claude,,,,,,,
284,K090,DeepSeek,,,,,,,
285,K091,ChatGPT,,,,,,,
286,K091,Gemini,,,,,,,
287,K091,Claude,,,,,,,
288,K091,DeepSeek,,,,,,,
289,K092,ChatGPT,,,,,,,
290,K092,Gemini,,,,,,,
291,K092,Claude,,,,,,,
292,K092,DeepSeek,,,,,,,
293,K095,ChatGPT,,,,,,,
294,K095,Gemini,,,,,,,
295,K095,Claude,,,,,,,
296,K095,DeepSeek,,,,,,,
297,K097,ChatGPT,,,,,,,
298,K097,Gemini,,,,,,,
299,K097,Claude,,,,,,,
300,K097,DeepSeek,,,,,,,
301,K098,ChatGPT,,,,,,,
302,K098,Gemini,,,,,,,
303,K098,Claude,,,,,,,
304,K098,DeepSeek,,,,,,,
305,K100,ChatGPT,,,,,,,
306,K100,Gemini,,,,,,,
307,K100,Claude,,,,,,,
308,K100,DeepSeek,,,,,,,
